SYMBOL,SECTOR,MARKET_CAP
FIRSTCRY,Consumer Cyclical,11792.06
FISCHER,Healthcare,2640.89
FIVESTAR,Financial Services,11051.23
FLAIR,Industrials,3122.34
FLEXITUFF,Consumer Cyclical,20.62
FLFL,Consumer Cyclical,24.54
FLUOROCHEM,Basic Materials,35548.56
FMGOETZE,Consumer Cyclical,2397.74
FMNL,Real Estate,51.68
FOCUS,Consumer Cyclical,437.12
FOODSIN,Consumer Defensive,412.23
FORCEMOT,Consumer Cyclical,26247.11
FORTIS,Healthcare,63420.26
FOSECOIND,Basic Materials,3422.53
FRACTAL,Technology,13656.61
FSL,Technology,15717.77
FUSION,Financial Services,2444.18
GABRIEL,Consumer Cyclical,12776.41
GAEL,Consumer Defensive,6594.77
GAIL,Utilities,95588.51
GALAPREC,Industrials,922.7
GALAXYSURF,Basic Materials,5948.6
GALLANTT,Basic Materials,15493.86
GANDHAR,Energy,1241.7
GANDHITUBE,Industrials,994.86
GANECOS,Consumer Cyclical,2968.95
GANESHBE,Basic Materials,582.18
GANESHCP,Consumer Defensive,800.74
GANESHHOU,Real Estate,4633.4
GANGAFORGE,Industrials,34.78
GANGESSECU,Consumer Defensive,119.01
GARFIBRES,Consumer Cyclical,5925.18
GARUDA,Industrials,1430.14
GATECH,Financial Services,61.04
GATECHDVR,Financial Services,57.51
GATEWAY,Industrials,2761.23
GAUDIUMIVF,Healthcare,572.98
GAYAHWS,Industrials,50.57
GCSL,Financial Services,815.79
GEECEE,Real Estate,537.99
GEEKAYWIRE,Industrials,235.17
GEMAROMA,Basic Materials,801.94
GENCON,Industrials,248.34
GENESYS,Technology,978.65
GENSOL,Technology,73.73
GENUSPAPER,Basic Materials,291.07
GENUSPOWER,Industrials,6782.27
GEOJITFSL,Financial Services,1637.89
GESHIP,Industrials,20337.18
GFLLIMITED,Financial Services,444.01
GHCL,Basic Materials,4205.07
GHCLTEXTIL,Consumer Cyclical,734.58
GICHSGFIN,Financial Services,775.47
GICL,Industrials,458.01
GICRE,Financial Services,67009.31
GILLANDERS,Consumer Defensive,183.93
GILLETTE,Consumer Defensive,24460.09
GINNIFILA,Consumer Cyclical,309.2
GIPCL,Utilities,2055.74
GKENERGY,Utilities,1945.02
GKSL,Healthcare,850.4
GKWLIMITED,Industrials,903.92
GLAND,Healthcare,28278.79
GLAXO,Healthcare,39529.2
GLENMARK,Healthcare,59680.59
GLFL,Financial Services,15.28
GLOBAL,Consumer Defensive,497.26
GLOBALE,Consumer Cyclical,11.41
GLOBALVECT,Industrials,239.41
GLOBE,Consumer Cyclical,109.0
GLOBECIVIL,Industrials,245.86
GLOBUSSPR,Consumer Defensive,2666.31
GLOSTERLTD,Consumer Cyclical,621.47
GLOTTIS,Industrials,420.06
GMBREW,Consumer Defensive,2341.81
GMDCLTD,Energy,18863.73
GMMPFAUDLR,Industrials,3890.86
GMRAIRPORT,Industrials,96012.77
GMRP&UI,Energy,7602.42
GNA,Consumer Cyclical,1630.08
GNFC,Basic Materials,5970.2
GOACARBON,Basic Materials,284.71
GOCLCORP,Basic Materials,1322.89
GOCOLORS,Consumer Cyclical,1447.23
GODAVARIB,Basic Materials,1560.1
GODFRYPHLP,Consumer Defensive,30107.6
GODIGIT,Financial Services,30006.98
GODREJAGRO,Consumer Defensive,11050.31
GODREJCP,Consumer Defensive,105307.22
GODREJIND,Industrials,28668.83
GODREJPROP,Real Estate,48343.84
GOKEX,Consumer Cyclical,4521.55
GOKUL,Consumer Defensive,387.96
GOKULAGRO,Consumer Defensive,5812.32
GOLDENTOBC,Consumer Defensive,40.21
GOLDIAM,Consumer Cyclical,3433.83
GOLDTECH,Technology,202.27
